audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04782] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04783] added dtor for sample_instance 02B3BA58, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04785] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04786] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04787] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04788] added dtor for sample_instance 02B3B008, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04790] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04791] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04792] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04794] added dtor for sample_instance 02B3BE18, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04795] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04797] 
