stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening C:\Users\段欣妤\Dropbox\我的電腦 (LAPTOP-BRB19GHV)\Desktop\大學\程設二\QAQ 2nd mini project\mini project 2 test-1\bin\Debug\allegro5.cfg r
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05532] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05532] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05533] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05534] added dtor for sample_instance 0000000002B771C0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05534] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05535] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05536] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05536] added dtor for sample_instance 0000000002B77AC0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05537] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05538] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05538] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05539] added dtor for sample_instance 0000000002B783C0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05540] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05540] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05541] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05542] added dtor for sample_instance 0000000002B78180, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05542] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05543] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05543] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05544] added dtor for sample_instance 0000000002B78DE0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05545] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05545] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05546] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05547] added dtor for sample_instance 0000000002B78CC0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05547] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05548] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05549] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05549] added dtor for sample_instance 0000000002B77520, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05550] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05550] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05551] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05552] added dtor for sample_instance 0000000002B77880, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05552] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05553] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05553] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05554] added dtor for sample_instance 0000000002B779A0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05555] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05555] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05556] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05556] added dtor for sample_instance 0000000002B77BE0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05557] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05558] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05558] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05559] added dtor for sample_instance 0000000002B77640, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05560] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05560] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05561] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05562] added dtor for sample_instance 0000000002B78F00, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05562] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05563] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05563] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05564] added dtor for sample_instance 0000000002B78600, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05565] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05565] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05566] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05566] added dtor for sample_instance 0000000002B770A0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05567] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05567] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05568] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05569] added dtor for sample_instance 0000000002B784E0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05569] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05570] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05570] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05571] added dtor for sample_instance 0000000002B77D00, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05572] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05573] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05573] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05574] added dtor for sample_instance 0000000002B772E0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05575] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05575] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05576] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05576] added dtor for sample_instance 0000000002B77760, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05577] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05578] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05578] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05579] added dtor for sample_instance 0000000002B77E20, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05580] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05580] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05581] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05581] added dtor for sample_instance 0000000002B77F40, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05582] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05583] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05583] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05584] added dtor for sample_instance 0000000002B78060, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05584] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05585] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05586] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05586] added dtor for sample_instance 0000000002B78720, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05587] sample matrix:
